Organization,Date,Employee ID,Shift,Late In Mins,Present ,Late,WeekOff,Shift Change Absent,Over Time Shift,No Work,Night Shift
Unit1Org,01/01/2014,22,Day Shift,30,Y,Y,,,,,
Unit1Org,01/02/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/03/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/04/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/05/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/06/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/07/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/08/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/09/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/10/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/11/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/12/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/13/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/14/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/15/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/16/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/17/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/18/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/19/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/20/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/21/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/22/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/23/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/24/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/25/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/26/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/27/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/28/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/29/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/30/2014,22,Day Shift,,Y,N,,,,,
Unit1Org,01/31/2014,22,Day Shift,,Y,N,,,,,
